SampleID	Species	Site	A	C	D	G
RA_Pacuta_11	Pocillopora acuta	Rabaul	0	1968	35709	0
RA_Pacuta_12	Pocillopora acuta	Rabaul	0	2600	29889	0
RA_Pacuta_13	Pocillopora acuta	Rabaul	0	1504	23552	0
RA_Pacuta_15	Pocillopora acuta	Rabaul	0	5431	12954	0
RA_Pacuta_16	Pocillopora acuta	Rabaul	0	830	31173	0
RA_Pacuta_17	Pocillopora acuta	Rabaul	0	4087	55511	0
RA_Pacuta_19	Pocillopora acuta	Rabaul	0	1468	44337	0
RA_Pacuta_2	Pocillopora acuta	Rabaul	0	3914	64097	0
RA_Pacuta_20	Pocillopora acuta	Rabaul	0	2906	53427	0
RA_Pacuta_3	Pocillopora acuta	Rabaul	0	2614	27917	0
RA_Pacuta_5	Pocillopora acuta	Rabaul	0	1009	20049	0
RA_Pacuta_6	Pocillopora acuta	Rabaul	0	1830	42722	0
RA_Pacuta_8	Pocillopora acuta	Rabaul	0	607	48971	0
RA_Pacuta_9	Pocillopora acuta	Rabaul	0	2122	41381	0
RA_Plutea_1	Porites lutea	Rabaul	0	13646	0	0
RA_Plutea_10	Porites lutea	Rabaul	0	15541	0	0
RA_Plutea_11	Porites lutea	Rabaul	0	12894	0	0
RA_Plutea_12	Porites lutea	Rabaul	344	21470	0	0
RA_Plutea_14	Porites lutea	Rabaul	0	14586	0	0
RA_Plutea_15	Porites lutea	Rabaul	0	15665	0	0
RA_Plutea_16	Porites lutea	Rabaul	0	9475	0	0
RA_Plutea_17	Porites lutea	Rabaul	0	14944	0	0
RA_Plutea_18	Porites lutea	Rabaul	0	15505	194	0
RA_Plutea_19	Porites lutea	Rabaul	0	17277	0	0
RA_Plutea_2	Porites lutea	Rabaul	0	11132	2577	0
RA_Plutea_20	Porites lutea	Rabaul	0	19041	0	0
RA_Plutea_3	Porites lutea	Rabaul	0	17299	0	0
RA_Plutea_4	Porites lutea	Rabaul	0	23786	0	0
RA_Plutea_6	Porites lutea	Rabaul	0	11214	0	0
RA_Plutea_7	Porites lutea	Rabaul	0	12547	0	0
RA_Plutea_9	Porites lutea	Rabaul	0	12795	0	0
